;ressources;condition middle;condition;points;color
1;antilope,mana;;;;r
2;mana,mana;;;;b
3;;;;4;g
4;pineapple,mana;;;;r
5;antilope,mana;;;2;g
6;map,mana;;;;b
7;antilope,pineapple;;;;r
8;map,antilope;;;;g
9;;;;5;b
10;;;;3;r
11;;;map;2;g
12;map,pineapple;;;2;y
13;;;mana;2;b
14;pineapple;;night;2;r
15;map;;antilope;2;g
16;antilope;;antilope;2;r
17;mana,mana;antilope,antilope;mana;33;b
18;antilope;;g,r,b,y;10;g
19;pineapple;;pineapple;2;r
20;map;mana;night;2;g
21;;mana,mana;;8;b
22;map;;map;1;g
23;mana,antilope;;g,r,b,y;10;r
24;mana;antilope;night;2;b
25;;;g,y;1;y
26;antilope;;pineapple;3;r
27;;;y,b;1;y
28;mana;;antilope;3;r
29;pineapple;;pineapple;2;y
30;mana;;mana;2;r
31;;;y,r;1;y
32;mana,antilope;mana,mana,mana;;7;r
33;map;;pineapple;3;y
34;antilope;mana,mana;antilope;3;g
35;antilope;;g,r,b,y;10;y
36;;antilope,antilope;pineapple;4;r
37;;pineapple;night;3;y
38;mana;pineapple, pineapple;map;3;g
39;mana,pineapple;antilope,antilope;;9;r
40;;pineapple,antilope,mana;night;3;b
41;pineapple;antilope,mana,mana;night;4;g
42;;mana,antilope;y,g;2;y
43;mana;;g,r,b,y;10;b
44;;mana,pineapple;b,y;2;y
45;mana;antilope,antilope,antilope;;13;g
46;map;mana,mana,antilope;;10;b
47;;pineapple,antilope;y,r;2;y
48;antilope;;mana;3;r
49;map;mana,mana,pineapple;;12;b
50;mana;pineapple,pineapple;g;4;y
51;mana;mana,mana,mana,mana;;14;b
52;;mana,mana,mana;antilope;4;r
53;antilope;pineapple,pineapple;r;4;y
54;antilope;pineapple,pineapple;map;4;g
55;mana,map;antilope,pineapple,pineapple;mana;3;b
56;pineapple;antilope,antilope,mana;b,y;4;y
57;;pineapple,pineapple,pineapple;mana;4;r
58;map;antilope,antilope,antilope;map;3;g
59;map;antilope,antilope,antilope,mana;y,r;3;y
60;map;mana,mana,antilope,antilope;;16;b
61;pineapple;antilope,antilope,antilope,antilope;;17;g
62;map;pineapple,pineapple, pineapple;y,b;3;y
63;map;pineapple,antilope,antilope;;15;g
64;map;mana,mana,pineapple,pineapple;;18;b
65;map;pineapple,pineapple,pineapple;y,g;3;y
66;;mana,mana,mana,mana;;20;b
67;map;antilope,antilope,pineapple,pineapple;;19;g
68;;mana,mana,mana,mana;;24;b
