;ressources;condition;points;color
1;;g;1;g
2;;r;1;r
3;;b;1;b
4;;y;1;y
5;;by;1;
6;;gr;1;
7;;ry;1;
8;;yg;1;
9;;gb;1;
10;;rb;1;
11;antilope;;;b
12;mana;;;b
13;pineapple;;;b
14;antilope;;;g
15;mana;;;g
16;map;;;g
17;antilope;;;r
18;pineapple;;;r
19;mana;;;r
20;mana;;;y
21;map;;;y
22;;gbyr;4;y
23;;map;1;y
24;;;5;
25;map;;;b
26;mana,map;;;
27;antilope,map;;;
28;pineapple,map;;;
29;;pineapple;2;
30;;mana;2;
31;;antilope;2;
32;;map;2;
33;map;gbyr;4;
34;;night;1;g
35;mana;night;1;
36;antilope;map;1;
37;mana;map;1;
38;map;map;1;
39;mana;mana;1;
40;antilope;antilope;1;
41;pineapple;pineapple;1;
42;night;;;r
43;mana,night;;;
44;antilope,night;;;
45;pineapple,night;;;
46;;;;
